1775456757.611515268 rtt_ms=2.02 rttvar_ms=0.941 cwnd=371 bytes_sent=21123264 bytes_received=37 unacked=0 delivery_rate_bps=367035544 retrans= conn="ESTAB 0      2440040 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.641425126 rtt_ms=2.572 rttvar_ms=0.202 cwnd=390 bytes_sent=23007592 bytes_received=37 unacked=73 delivery_rate_bps=828044672 retrans= conn="ESTAB 0      2940888 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.667935461 rtt_ms=1.541 rttvar_ms=0.512 cwnd=390 bytes_sent=24182160 bytes_received=37 unacked=67 delivery_rate_bps=685190384 retrans= conn="ESTAB 0      2930752 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.694266559 rtt_ms=1.943 rttvar_ms=0.928 cwnd=390 bytes_sent=24182160 bytes_received=37 unacked=0 delivery_rate_bps=372939360 retrans= conn="ESTAB 0      2834624 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.721431070 rtt_ms=1.943 rttvar_ms=0.928 cwnd=390 bytes_sent=24182160 bytes_received=37 unacked=0 delivery_rate_bps=372939360 retrans= conn="ESTAB 0      2834624 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.751188018 rtt_ms=2.045 rttvar_ms=0.211 cwnd=390 bytes_sent=26026640 bytes_received=37 unacked=2 delivery_rate_bps=594160880 retrans= conn="ESTAB 0      3337640 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.782081267 rtt_ms=1.847 rttvar_ms=0.793 cwnd=390 bytes_sent=27407744 bytes_received=37 unacked=0 delivery_rate_bps=435118352 retrans= conn="ESTAB 0      3127680 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.813526659 rtt_ms=1.638 rttvar_ms=0.375 cwnd=390 bytes_sent=27638272 bytes_received=37 unacked=0 delivery_rate_bps=774202168 retrans= conn="ESTAB 0      2897152 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.844285866 rtt_ms=1.638 rttvar_ms=0.375 cwnd=390 bytes_sent=27638272 bytes_received=37 unacked=0 delivery_rate_bps=774202168 retrans= conn="ESTAB 0      2897152 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.874971434 rtt_ms=1.884 rttvar_ms=0.275 cwnd=413 bytes_sent=29468592 bytes_received=37 unacked=2 delivery_rate_bps=549574496 retrans= conn="ESTAB 0      3479544 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.906025374 rtt_ms=2.141 rttvar_ms=0.72 cwnd=413 bytes_sent=29468592 bytes_received=37 unacked=0 delivery_rate_bps=382310224 retrans= conn="ESTAB 0      3477752 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.938165701 rtt_ms=2.5 rttvar_ms=0.101 cwnd=413 bytes_sent=31752688 bytes_received=37 unacked=115 delivery_rate_bps=946510672 retrans= conn="ESTAB 0      2597712 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456757.973397252 rtt_ms=2.143 rttvar_ms=0.809 cwnd=413 bytes_sent=33348888 bytes_received=37 unacked=158 delivery_rate_bps=361499504 retrans= conn="ESTAB 0      3539344 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
1775456758.009779761 rtt_ms=1.513 rttvar_ms=0.287 cwnd=413 bytes_sent=34946104 bytes_received=37 unacked=12 delivery_rate_bps=946706008 retrans= conn="ESTAB 0      2968400 [::ffff:165.194.35.203]:20075 [::ffff:150.228.147.246]:2662 "
